1931	0.142857
1932	0.142857
1933	0.142857
1934	0.142857
1935	0.142857
1936	0.142857
1937	0.142857
1938	0.142857
1939	0.142857
1940	0.142857
1941	0.142857
1942	0.142857
1943	0.142857
1944	0.142857
1945	0.142857
1946	0.142857
1947	0.142857
1948	0.142857
1949	0.142857
1950	0.142857
1951	0.142857
1952	1.400000
1953	1.400000
1954	1.400000
1955	1.400000
1956	1.400000
1957	1.400000
1958	1.400000
1959	1.400000
1960	1.400000
1961	1.400000
1962	2.500000
1963	2.500000
1964	2.500000
1965	2.500000
1966	2.500000
1967	2.500000
1968	2.500000
1969	2.500000
1970	2.500000
1971	2.500000
1972	2.700000
1973	2.700000
1974	2.700000
1975	2.700000
1976	2.700000
1977	2.700000
1978	2.700000
1979	2.700000
1980	2.700000
1981	2.700000
1982	1.800000
1983	1.800000
1984	1.800000
1985	1.800000
1986	1.800000
1987	1.800000
1988	1.800000
1989	1.800000
1990	1.800000
1991	1.800000
1992	1.000000
1993	1.000000
1994	1.000000
1995	1.000000
1996	1.000000
1997	1.000000
1998	1.000000
1999	1.000000
2000	1.000000
2001	1.000000
2002	0.428571
2003	0.428571
2004	0.428571
2005	0.428571
2006	0.428571
2007	0.428571
2008	0.428571
